;code_aiot;x;y;code_epsg;nom_ets;num_dep;adresse;cd_insee;cd_postal;commune;code_naf;lib_naf;num_siret;cd_regime;lib_regime;seveso;lib_seveso;priorite_n;date_modif;derniere_i;url_fiche;rubrique
4831;0003205293;840369;6475207;2154;CREALIS;38;Plateforme chimique de Roussillon - Route des sablons;38298;38550;Le Péage-de-Roussillon;82;Activités administratives et autres activités de soutien aux entreprises;64204389700049;A;Autorisation;1;Seveso seuil haut;1;2025-08-30;2025-02-13;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003205293;1185|1414|2718|2790|3510|3550|4718||1185|2711
4999;0003300469;882359;6664492;2154;Syensqo France;39;2 avenue de la république;39001;39501;Tavaux;;;35217016100074;A;Autorisation;1;Seveso seuil haut;1;2025-11-27;2025-09-09;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003300469;1185|1414|1434|2660|2760|2770|3110|3410|3420|3520|3540|4110|4120|4130|4330|4421|4510|4709|4710|4716|4718|4735|4801|2515|2661|2662|2910|2921|1185|1185|1414|1434|4120|4140|4150|4310|4440|4441|4746
6038;0003701359;817856;6292927;2154;SARPI Mineral France (ex Suez RR IWS);30;Route de St Gilles - Piechegu;30034;30127;Bellegarde;38;"Collecte, traitement et élimination des déchets ; récupération";32210784800119;A;Autorisation;1;Seveso seuil haut;1;2025-11-01;2025-09-09;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003701359;2791|3540|4510||2515|2713|2714|2715|2921
7101;0003800615;646395;7100903;2154;INDACHLOR S.A.S.U;59;Port 4206 - Route de la Distillerie;59359;59279;Loon-Plage;38;"Collecte, traitement et élimination des déchets ; récupération";82324749900010;A;Autorisation;1;Seveso seuil haut;1;2025-10-08;2025-06-10;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003800615;2770|3510|3520|3550|4001||2925
7503;0003801297;641500;7099765;2154;FLOCRYL (ex SNF SAS);59;8190 Route départementale 601 - port 8190;59273;59820;Gravelines;20;Industrie chimique;51875900600027;A;Autorisation;1;Seveso seuil haut;1;2025-11-20;2025-05-14;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003801297;1434|1630|3110|3410|4001|4130|4330|4510|4735|2921|4331|1185|1185|1510|2925|4411|4422|4440
8507;0003802921;701962;7028791;2154;AESC FRANCE S.A.S.;59;567, rue des frères Renault;59329;59552;Lambres-lez-Douai;27;Fabrication d'équipements électriques;90842177900012;A;Autorisation;1;Seveso seuil haut;1;2025-12-02;2025-06-12;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003802921;3670|4001|4120|4331|4150
9453;0005100154;716323;6944980;2154;ARF;02;9 Route de Soissons - ZI de la Soudière;02173;02300;Chauny;25;Fabrication de produits métalliques, à l?exception des machines et des équipements;40149598100011;A;Autorisation;1;Seveso seuil haut;1;2025-11-04;2025-07-29;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005100154;2566|2718|2770|2790|2791|3520|3550|4001|4511|2713|4331|2560|4320|4718
9460;0005100177;716293;6945209;2154;SPR (SOCIETE PICARDIE REGENERATION);02;5, route de Soissons;02173;02300;Chauny;38;"Collecte, traitement et élimination des déchets ; récupération";39457663100011;A;Autorisation;1;Seveso seuil haut;1;2025-11-28;2025-11-06;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005100177;1434|2718|2770|2790|3510|3550|4001|4510|2915|2921|2910
9465;0005100190;717036;6945426;2154;DSP France SAS;02;RUE DES GRANDS NAVOIRS PROLONGEE - B.P. 48;02173;02300;Chauny;20;Industrie chimique;55201279100042;A;Autorisation;1;Seveso seuil haut;1;2025-11-25;2025-10-30;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005100190;1434|1450|1630|3410|4130|4421|4610|4718|4733|2661|2662|2921|4331|1185|2661|2910|4140|4510|4719|4722
9767;0005100962;668534;6911702;2154;ECOBAT Resources;60;ZI de Brenouille - Rue Corroy - CS 70322;60102;60870;Brenouille;24;Métallurgie;43309056000023;A;Autorisation;1;Seveso seuil haut;1;2025-08-06;2025-05-22;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005100962;1450|2546|2550|2718|2770|3250|4510|2713|2910|4130|4725|4801
9775;0005100978;660748;6920120;2154;BASF Coatings France;60;Zone Industrielle - Rue André Pommery;60106;60840;Breuil-le-Sec;20;Industrie chimique;98248652400027;A;Autorisation;1;Seveso seuil haut;1;2025-10-11;2025-07-01;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005100978;1434|1450|2640|2660|3410|4001|4110|4120|4130|4140|4150|4330|4331|4421|4510|4511|2260|2662|2915|2921|2940|1185|1434|2925|4422|4734
9780;0005100993;664542;6919693;2154;SI Group (ex ADDIVANT);60;Chemin du Trou Bleuet;60130;60840;Catenoy;20;Industrie chimique;79019750300028;A;Autorisation;1;Seveso seuil haut;1;2025-11-26;2025-03-31;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005100993;1434|1450|3410|4110|4130|4330|4331|4510|4511|4718|2915|2921|2260|2910|4730
9874;0005101211;678323;6936622;2154;STORENGY;60;Hameau de Saint Maur;60281;60190;Gournay-sur-Aronde;52;Entreposage et services auxiliaires des transports;48765063200044;A;Autorisation;1;Seveso seuil haut;1;2025-12-02;2025-06-12;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005101211;3110|4718|2910|4331|2925|4722
9990;0005101473;669256;6911756;2154;HUTTENES ALBERTUS FRANCE;60;ZI de Pont-Brenouille - BP 30309;60509;60723;Pont-Sainte-Maxence;20;Industrie chimique;62203967500047;A;Autorisation;1;Seveso seuil haut;1;2025-09-26;2025-06-26;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005101473;1450|3410|4110|4130|4511|4801|2515|2661|2662|1434|1436|2910|4330|4331|4510
10007;0005101506;694596;6935346;2154;BOSTIK;60;Route de Bailly - BP 30009;60537;60771;Ribécourt-Dreslincourt;20;Industrie chimique;33211009700075;A;Autorisation;1;Seveso seuil haut;1;2025-11-26;2025-10-02;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005101506;1434|1436|1450|2660|3410|4001|4110|4130|4331|4511|4726|1510|2662|2915|2921|1434|1530|2910|2925|4120|4422|4440|4510
10069;0005101668;664024;6909487;2154;ARKEMA;60;ZI des Près Roseaux - BP  90013  - 60872 RIEUX CEDEX;60684;60870;Villers-Saint-Paul;20;Industrie chimique;31963279000899;A;Autorisation;1;Seveso seuil haut;1;2025-09-26;2025-02-20;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005101668;1434|1436|1450|2660|3410|4001|4110|4120|4130|4331|4510|4511|4726|2662|2915|2921|1185|1510|1630|2910|4120|4130|4140|4150
10144;0005101887;647439;6981992;2154;EUROLYSINE;80;60 RUE DE VAUX - CS 18018;80021;80000;Amiens;72;Recherche-développement scientifique;92884312700020;A;Autorisation;1;Seveso seuil haut;1;2025-12-02;2025-09-09;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005101887;1630|2170|3430|3450|3642|4735|2910|2921|1185|1510|2680|4110|4310|4510|4735
10152;0005101904;647621;6982400;2154;PROCTER et  GAMBLE;80;Z.I. Nord Rue André Durouchez - BP 90045;80021;80082;Amiens;70;"Activités des sièges sociaux ; conseil de gestion";54210610900060;A;Autorisation;1;Seveso seuil haut;1;2025-11-27;2025-05-26;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005101904;1434|1436|1630|2661|3410|4001|4130|4330|4510|4511|1510|1530|2662|2921|4331|1185|1185|1434|2661|2910|2925|4310
10343;0005102362;693309;6963011;2154;AJINOMOTO FOODS EUROPE;80;48 RUE DE NESLE - BP 42;80542;80190;Mesnil-Saint-Nicaise;;;57223395500036;A;Autorisation;1;Seveso seuil haut;1;2025-11-29;2025-09-16;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005102362;1630|2170|3450|3642|4001|4130|4735|1510|2910|2171|2680|4441|4725|4741
